Thorlabs Beam
Version: 9.1.5787.560
Date d/MM/yyyy	29/11/2024
Time h:mm:ss AP	11:48:54 AM

Device: 	BC106N-VIS
S/N: 	M00452329

Device	BC106N-VIS
Serial Number	M00452329

Attenuation	[dB]	0
Exposure Time	[ms]	2.509
Gain		1

Wavelength	[nm]	635

Measurement	Time [hh:mm:ss:zzz]	BeamWidth4SigmaX2[µm]	BeamWidth4SigmaY2[µm]	AzimuthAngle4Sigma[°]	Ellipticity4Sigma[%]	PeakPositionX[µm]	PeakPositionY[µm]	CentroidPositionX[µm]	CentroidPositionY[µm]	ImageSat[%]	TotalPower[dBm]	Ellipticity[%]	EllipseDiameterMin[µm]	EllipseDiameterMax[µm]	Orientation[deg]	
539	11:57:52.655	1454.07	1694.40	18.18	85.82	-2402.62	596.62	-2375.58	490.09	79.38	-44.37	44.73	637.81	1425.99	54.61	
540	11:57:53.662	1461.53	1696.49	17.70	86.15	-2415.52	596.62	-2376.59	489.14	78.98	-44.38	44.79	636.04	1419.98	54.43	
541	11:57:54.655	1448.43	1692.98	18.68	85.55	-2415.52	596.62	-2375.84	490.20	79.78	-44.37	44.75	639.21	1428.52	54.57	
542	11:57:55.659	1424.09	1687.56	20.13	84.39	-2409.07	583.72	-2375.31	490.65	82.95	-44.34	44.89	636.48	1417.78	54.93	
543	11:57:56.653	1444.28	1692.04	18.80	85.36	-2402.62	596.62	-2375.47	490.14	80.57	-44.36	44.75	634.54	1417.92	54.61	
544	11:57:57.658	1452.56	1694.30	18.21	85.73	-2402.62	596.62	-2376.43	489.84	78.98	-44.37	44.79	638.08	1424.57	54.57	
545	11:57:58.656	1414.78	1685.56	20.60	83.94	-2402.62	590.17	-2374.18	490.37	82.55	-44.32	44.73	643.03	1437.45	55.16	
546	11:57:59.658	1444.67	1692.76	18.90	85.34	-2402.62	596.62	-2375.57	490.19	80.57	-44.36	44.85	635.00	1415.72	54.54	
547	11:58:00.654	1445.62	1692.50	18.70	85.41	-2415.52	596.62	-2375.92	490.01	79.78	-44.36	44.61	638.81	1431.92	54.55	
548	11:58:01.658	1458.28	1695.46	17.73	86.01	-2415.52	596.62	-2375.63	489.02	78.98	-44.38	44.73	636.09	1421.92	54.43	
549	11:58:02.652	1445.79	1692.09	18.60	85.44	-2409.07	583.72	-2375.70	490.15	79.78	-44.37	44.78	639.41	1428.01	54.46	
550	11:58:03.647	1445.40	1692.80	18.78	85.39	-2415.52	596.62	-2375.32	489.90	80.17	-44.36	44.95	635.32	1413.35	54.57	
551	11:58:04.670	1431.83	1689.39	19.64	84.75	-2409.07	603.07	-2374.12	490.46	81.76	-44.35	44.75	638.88	1427.67	54.87	
552	11:58:05.644	1462.75	1696.17	17.54	86.24	-2415.52	596.62	-2375.59	489.27	79.38	-44.39	44.80	634.69	1416.80	54.37	
553	11:58:06.650	1446.92	1693.11	18.59	85.46	-2402.62	596.62	-2375.93	489.61	80.97	-44.37	44.97	634.11	1410.17	54.69	
554	11:58:07.666	1454.36	1693.97	18.11	85.86	-2415.52	596.62	-2376.05	489.94	79.78	-44.38	44.66	636.77	1425.74	54.55	
555	11:58:08.653	1452.36	1695.20	18.22	85.68	-2402.62	596.62	-2375.85	488.81	80.17	-44.37	44.90	633.07	1410.01	54.70	
556	11:58:09.654	1486.33	1701.49	15.50	87.35	-2454.22	635.32	-2376.60	488.45	77.00	-44.41	45.31	630.20	1390.86	54.22	
557	11:58:10.658	1434.02	1690.24	19.54	84.84	-2409.07	583.72	-2374.57	490.24	81.36	-44.35	44.68	637.38	1426.51	54.67	
558	11:58:11.645	1429.80	1689.52	19.69	84.63	-2415.52	596.62	-2375.05	490.07	81.76	-44.34	44.65	638.45	1429.75	54.82	
559	11:58:12.649	1442.70	1692.46	18.88	85.24	-2409.07	603.07	-2375.61	489.00	79.78	-44.36	44.77	641.08	1432.05	54.65	
560	11:58:13.654	1427.99	1688.96	19.77	84.55	-2415.52	596.62	-2373.23	489.55	82.16	-44.33	44.65	640.09	1433.54	54.76	
561	11:58:14.656	1422.19	1687.84	20.22	84.26	-2415.52	596.62	-2373.23	490.31	82.16	-44.33	44.60	641.24	1437.76	55.02	
562	11:58:15.652	1435.65	1690.21	19.37	84.94	-2415.52	596.62	-2374.47	489.82	80.57	-44.35	44.75	637.22	1423.93	54.74	
563	11:58:16.658	1445.77	1692.69	18.72	85.41	-2409.07	583.72	-2374.95	489.63	80.57	-44.36	44.97	635.68	1413.47	54.53	
564	11:58:17.649	1415.53	1685.41	20.55	83.99	-2396.17	583.72	-2373.48	490.18	83.35	-44.33	44.84	638.57	1423.96	55.21	
565	11:58:18.653	1477.83	1699.71	16.24	86.95	-2447.77	628.87	-2375.24	488.86	76.60	-44.40	44.79	636.90	1421.98	54.26	
566	11:58:19.644	1468.24	1696.90	16.89	86.52	-2415.52	596.62	-2373.59	489.83	78.19	-44.39	44.78	633.85	1415.60	54.51	
567	11:58:20.650	1454.99	1694.57	18.06	85.86	-2415.52	596.62	-2374.62	489.80	79.78	-44.37	44.79	637.51	1423.36	54.53	
568	11:58:21.670	1450.77	1692.46	18.24	85.72	-2415.52	596.62	-2372.68	491.03	79.78	-44.37	44.64	638.00	1429.29	54.46	
569	11:58:22.656	1457.08	1694.51	17.74	85.99	-2402.62	596.62	-2372.69	491.16	78.59	-44.38	44.71	636.77	1424.24	54.53	
570	11:58:23.648	1433.14	1689.41	19.50	84.83	-2415.52	596.62	-2371.63	490.93	81.76	-44.34	44.68	638.35	1428.86	54.90	
571	11:58:24.652	1453.87	1694.22	17.98	85.81	-2415.52	596.62	-2371.48	490.71	79.38	-44.37	44.71	637.31	1425.49	54.57	
572	11:58:25.659	1451.38	1693.46	18.14	85.71	-2409.07	603.07	-2372.70	489.62	79.38	-44.37	44.71	638.14	1427.27	54.52	
573	11:58:26.656	1445.41	1691.81	18.58	85.44	-2402.62	590.17	-2372.78	489.50	80.57	-44.37	44.73	634.57	1418.57	54.72	
574	11:58:27.660	1436.10	1690.14	19.32	84.97	-2409.07	603.07	-2372.77	489.68	80.57	-44.35	44.80	637.81	1423.75	54.87	
575	11:58:28.648	1406.75	1683.98	21.21	83.54	-2409.07	583.72	-2372.61	489.97	84.14	-44.30	44.96	642.94	1430.12	55.20	
576	11:58:29.652	1430.92	1689.04	19.71	84.72	-2402.62	596.62	-2372.85	489.66	82.16	-44.34	44.77	639.44	1428.15	54.91	
577	11:58:30.657	1390.00	1679.45	22.10	82.77	-2402.62	590.17	-2370.31	489.63	84.14	-44.28	45.12	647.26	1434.66	55.29	
578	11:58:31.645	1398.24	1681.63	21.63	83.15	-2331.67	635.32	-2371.37	489.55	84.14	-44.29	45.15	645.98	1430.72	55.19	
579	11:58:32.642	1412.25	1684.39	20.88	83.84	-2409.07	583.72	-2372.94	489.39	82.95	-44.32	45.02	641.03	1423.81	55.20	
580	11:58:33.701	1426.46	1688.54	20.12	84.48	-2396.17	583.72	-2374.39	489.67	82.55	-44.34	44.73	640.79	1432.71	54.86	
581	11:58:34.659	1401.62	1682.72	21.48	83.30	-2415.52	596.62	-2373.33	489.64	83.74	-44.30	44.94	643.67	1432.19	55.13	
582	11:58:35.650	1391.22	1679.70	22.29	82.83	-2402.62	596.62	-2372.15	490.72	84.93	-44.28	45.12	646.86	1433.77	55.19	
583	11:58:36.653	1388.81	1679.09	22.32	82.71	-2396.17	583.72	-2372.38	490.21	84.93	-44.28	45.04	647.53	1437.62	55.24	
584	11:58:37.650	1414.48	1685.23	20.85	83.93	-2409.07	583.72	-2374.46	490.61	82.55	-44.32	44.84	644.88	1438.09	55.00	
585	11:58:38.649	1447.11	1692.18	18.80	85.52	-2402.62	596.62	-2376.57	490.37	80.17	-44.36	44.89	634.57	1413.60	54.53	
586	11:58:39.653	1445.16	1692.22	18.73	85.40	-2415.52	596.62	-2375.75	490.15	80.57	-44.36	44.81	634.87	1416.79	54.51	
587	11:58:40.642	1456.03	1694.73	18.10	85.92	-2402.62	590.17	-2377.56	490.17	79.38	-44.37	44.48	637.06	1432.10	54.41	
588	11:58:41.646	1435.37	1689.06	19.54	84.98	-2402.62	596.62	-2377.31	490.55	80.57	-44.35	44.60	637.43	1429.20	54.68	
589	11:58:42.649	1424.47	1687.46	20.27	84.41	-2402.62	596.62	-2376.49	491.02	81.76	-44.33	44.75	640.28	1430.90	54.78	
590	11:58:43.649	1437.71	1689.98	19.26	85.07	-2415.52	596.62	-2377.01	490.24	80.57	-44.35	44.48	637.04	1432.26	54.73	
591	11:58:44.750	1403.14	1682.61	21.43	83.39	-2402.62	596.62	-2376.38	490.64	84.14	-44.30	45.02	642.47	1427.07	55.23	
592	11:58:45.654	1414.34	1685.35	20.91	83.92	-2409.07	583.72	-2376.80	490.36	83.35	-44.32	44.75	638.44	1426.72	54.93	
593	11:58:46.656	1412.16	1684.41	21.03	83.84	-2415.52	596.62	-2375.86	490.20	82.95	-44.31	44.78	638.81	1426.54	55.06	
594	11:58:47.672	1413.05	1685.22	20.87	83.85	-2402.62	596.62	-2376.41	490.39	83.35	-44.32	44.89	639.57	1424.76	55.17	
595	11:58:48.669	1365.21	1672.64	23.57	81.62	-2396.17	583.72	-2371.83	488.68	86.12	-44.24	45.34	647.96	1429.23	55.42	
596	11:58:49.670	1424.24	1687.90	20.29	84.38	-2402.62	590.17	-2377.15	490.03	81.76	-44.33	44.55	640.81	1438.57	54.92	
597	11:58:50.660	1411.57	1683.83	20.98	83.83	-2402.62	596.62	-2376.48	490.45	83.35	-44.32	44.82	639.36	1426.63	55.15	
598	11:58:51.676	1414.43	1684.82	20.81	83.95	-2402.62	590.17	-2376.13	490.35	82.95	-44.32	44.84	639.29	1425.60	55.15	
599	11:58:52.683	1440.54	1690.97	19.18	85.19	-2402.62	596.62	-2377.71	490.12	79.78	-44.35	44.41	640.87	1442.94	54.63	
600	11:58:53.676	1425.84	1688.08	20.06	84.47	-2402.62	596.62	-2376.72	490.98	82.55	-44.33	44.60	639.56	1433.94	54.77	
601	11:58:54.685	1424.54	1688.25	20.16	84.38	-2402.62	596.62	-2376.80	490.70	82.55	-44.33	44.72	640.10	1431.38	54.86	
602	11:58:55.674	1427.10	1687.34	20.00	84.58	-2402.62	590.17	-2376.85	490.55	82.16	-44.34	44.62	640.13	1434.63	54.85	
603	11:58:56.683	1424.36	1686.93	20.30	84.44	-2396.17	583.72	-2376.11	490.83	82.16	-44.33	44.57	639.41	1434.66	54.77	
604	11:58:57.676	1407.56	1684.06	21.24	83.58	-2402.62	596.62	-2375.71	490.64	83.35	-44.31	44.99	642.14	1427.44	55.09	
605	11:58:58.684	1427.49	1687.93	20.05	84.57	-2415.52	596.62	-2377.02	490.33	81.36	-44.34	44.43	639.32	1439.08	54.80	
606	11:58:59.677	1426.67	1686.91	20.15	84.57	-2402.62	596.62	-2377.50	490.65	81.76	-44.34	44.39	639.15	1439.70	54.88	
607	11:59:00.681	1439.70	1691.22	19.29	85.13	-2402.62	596.62	-2378.03	490.34	81.76	-44.35	44.68	635.97	1423.37	54.63	
608	11:59:01.671	1449.36	1685.00	19.11	86.02	-2396.17	583.72	-2371.11	484.46	76.60	-44.33	48.45	690.02	1424.19	55.10	
609	11:59:02.679	1433.33	1688.85	19.72	84.87	-2402.62	596.62	-2377.50	490.48	81.36	-44.34	44.48	638.03	1434.32	54.68	
610	11:59:03.675	1431.99	1688.88	19.73	84.79	-2415.52	596.62	-2377.92	490.47	80.97	-44.34	44.69	639.07	1429.95	54.76	
611	11:59:04.683	1434.58	1689.85	19.61	84.89	-2402.62	596.62	-2377.90	490.82	81.76	-44.35	44.56	637.03	1429.57	54.75	
612	11:59:05.675	1445.51	1691.42	18.77	85.46	-2409.07	603.07	-2377.77	490.13	79.78	-44.36	44.57	641.52	1439.36	54.59	
613	11:59:06.681	1570.32	1724.24	3.73	91.07	-2454.22	635.32	-2373.35	480.43	69.86	-44.50	48.24	619.40	1284.10	53.91	
614	11:59:07.672	1470.41	1697.12	17.01	86.64	-2415.52	596.62	-2378.43	489.01	78.59	-44.39	44.81	634.42	1415.76	54.52	
615	11:59:08.695	1421.07	1686.56	20.41	84.26	-2415.52	596.62	-2376.34	490.97	82.95	-44.33	44.85	637.02	1420.24	54.99	
616	11:59:09.690	1428.13	1687.44	20.00	84.63	-2415.52	596.62	-2377.29	490.16	82.95	-44.34	44.72	635.45	1420.97	54.90	
617	11:59:10.699	1367.65	1673.51	23.35	81.72	-2396.17	545.02	-2370.83	489.76	86.12	-44.25	45.17	646.82	1431.94	55.34	
618	11:59:11.691	1436.10	1690.97	19.54	84.93	-2402.62	596.62	-2377.27	490.75	81.36	-44.35	44.40	636.77	1434.07	54.73	
619	11:59:12.699	1434.92	1690.19	19.58	84.90	-2415.52	596.62	-2377.58	490.44	80.57	-44.35	44.57	637.97	1431.22	54.81	
620	11:59:13.691	1445.70	1690.58	18.56	85.52	-2415.52	596.62	-2376.24	490.07	80.17	-44.36	44.94	635.61	1414.31	54.66	
621	11:59:14.684	1496.54	1702.14	14.42	87.92	-2454.22	635.32	-2377.58	486.90	75.81	-44.42	45.30	631.18	1393.24	54.36	
622	11:59:15.690	1497.87	1702.71	14.27	87.97	-2460.67	641.77	-2376.86	487.68	74.62	-44.42	44.98	631.53	1403.95	54.16	
623	11:59:16.699	1542.71	1712.39	7.96	90.09	-2454.22	635.32	-2376.70	482.51	72.64	-44.47	46.76	622.73	1331.74	53.95	
624	11:59:17.689	1503.54	1704.40	13.59	88.21	-2454.22	635.32	-2376.73	486.98	75.41	-44.43	45.41	629.47	1386.20	54.12	
625	11:59:18.697	1516.60	1688.43	13.47	89.82	-2454.22	635.32	-2362.03	474.67	61.54	-44.37	93.51	1218.86	1303.39	65.98	
626	11:59:19.688	1502.73	1703.76	13.70	88.20	-2454.22	635.32	-2377.11	487.01	75.41	-44.43	45.04	630.10	1399.04	54.18	
627	11:59:20.694	1508.40	1705.83	13.22	88.43	-2454.22	641.77	-2377.24	485.55	73.83	-44.44	45.09	633.96	1406.09	54.25	
628	11:59:21.685	1472.83	1698.43	16.67	86.72	-2415.52	596.62	-2375.83	489.57	78.98	-44.39	45.12	633.86	1404.85	54.44	
629	11:59:22.691	1468.84	1696.83	17.01	86.56	-2454.22	635.32	-2377.02	489.07	77.79	-44.39	44.83	635.10	1416.69	54.52	
630	11:59:23.683	1498.76	1703.19	14.41	88.00	-2454.22	635.32	-2377.06	487.65	77.00	-44.42	45.11	625.95	1387.54	54.43	
631	11:59:24.696	1489.94	1701.61	15.19	87.56	-2454.22	635.32	-2377.41	488.45	75.81	-44.41	45.06	634.46	1407.99	54.21	
632	11:59:25.691	1502.81	1704.56	13.80	88.16	-2454.22	635.32	-2377.69	488.77	77.40	-44.43	45.47	624.72	1373.96	54.32	
633	11:59:26.696	1474.86	1697.50	16.57	86.88	-2454.22	635.32	-2377.12	489.00	77.40	-44.40	44.83	632.54	1411.00	54.31	
634	11:59:27.687	1477.74	1699.61	16.21	86.95	-2454.22	635.32	-2376.33	489.24	77.00	-44.40	45.18	632.48	1399.86	54.17	
635	11:59:28.696	1482.88	1700.53	15.87	87.20	-2415.52	596.62	-2376.50	488.50	77.00	-44.41	45.23	630.61	1394.31	54.13	
636	11:59:29.688	1503.68	1705.15	13.80	88.18	-2454.22	635.32	-2376.28	488.31	75.02	-44.43	45.46	629.75	1385.29	54.19	
637	11:59:30.695	1488.29	1701.36	15.24	87.48	-2454.22	635.32	-2375.14	488.74	77.40	-44.41	45.45	630.36	1386.86	54.15	
638	11:59:31.686	1635.88	1769.61	-20.79	92.44	-2499.37	738.52	-2355.26	464.05	56.38	-44.54	76.68	632.30	824.59	55.10	
639	11:59:32.708	1647.38	1788.83	-30.03	92.09	-2505.82	790.12	-2341.52	452.71	50.04	-44.52	--	--	--	0.00	
640	11:59:33.714	1467.20	1696.57	16.92	86.48	-2402.62	590.17	-2375.51	490.36	78.19	-44.39	44.78	634.43	1416.76	54.45	
641	11:59:34.724	1466.63	1696.57	17.16	86.45	-2415.52	596.62	-2374.42	490.66	78.19	-44.39	44.89	634.41	1413.22	54.60	
642	11:59:35.717	1469.24	1696.73	16.90	86.59	-2454.22	635.32	-2375.30	490.62	78.19	-44.39	45.05	634.20	1407.69	54.50	
643	11:59:36.724	1474.92	1696.98	16.38	86.91	-2409.07	603.07	-2375.21	489.80	78.19	-44.40	45.16	632.93	1401.40	54.34	
644	11:59:37.714	1464.52	1697.31	17.03	86.28	-2415.52	596.62	-2375.46	491.22	78.59	-44.38	44.85	634.16	1413.82	54.57	
645	11:59:38.724	1472.09	1697.44	16.75	86.72	-2402.62	596.62	-2375.25	489.66	77.40	-44.39	45.10	633.75	1405.17	54.40	
646	11:59:39.715	1548.79	1718.00	6.96	90.15	-2454.22	635.32	-2369.08	483.75	71.85	-44.48	46.96	621.13	1322.60	53.96	
647	11:59:40.718	1486.84	1700.75	15.28	87.42	-2454.22	641.77	-2375.94	489.48	76.21	-44.41	45.16	634.70	1405.35	54.20	
648	11:59:41.726	1538.38	1714.74	8.72	89.72	-2454.22	635.32	-2374.37	487.52	73.83	-44.46	46.33	623.85	1346.43	53.91	
649	11:59:42.749	1642.16	1774.43	-23.44	92.55	-2505.82	790.12	-2349.06	458.34	55.19	-44.55	--	--	--	0.00	
650	11:59:43.723	1619.49	1746.68	-11.17	92.72	-2499.37	654.67	-2363.82	470.05	61.93	-44.53	56.54	623.74	1103.16	53.25	
651	11:59:44.718	1506.09	1704.44	13.46	88.36	-2460.67	641.77	-2374.57	487.69	74.62	-44.43	45.41	628.81	1384.73	54.12	
652	11:59:45.723	1523.04	1708.68	11.74	89.14	-2454.22	635.32	-2375.51	485.07	73.83	-44.45	45.76	630.21	1377.19	54.14	
653	11:59:46.712	1572.33	1721.09	3.72	91.36	-2454.22	635.32	-2372.79	479.13	69.86	-44.49	48.24	620.86	1286.98	54.00	
654	11:59:47.723	1525.75	1709.54	10.88	89.25	-2454.22	635.32	-2373.67	485.33	74.62	-44.45	46.01	622.70	1353.39	54.19	
655	11:59:48.725	1521.80	1707.77	11.47	89.11	-2454.22	635.32	-2374.69	487.23	74.22	-44.45	46.01	624.81	1358.03	54.23	
656	11:59:49.717	1493.57	1701.66	14.83	87.77	-2454.22	635.32	-2376.52	488.11	76.21	-44.42	45.12	632.85	1402.48	54.25	
657	11:59:50.723	1489.89	1701.02	15.12	87.59	-2454.22	635.32	-2376.96	487.85	77.00	-44.42	45.14	628.87	1393.21	54.43	
658	11:59:51.717	1447.70	1690.47	18.74	85.64	-2402.62	596.62	-2373.20	488.65	78.59	-44.36	45.77	652.44	1425.31	54.84	
659	11:59:52.720	1441.02	1691.02	19.03	85.22	-2402.62	596.62	-2374.63	491.14	80.97	-44.36	44.95	636.53	1416.11	54.81	
660	11:59:53.726	1444.34	1692.55	18.82	85.34	-2415.52	596.62	-2375.41	490.01	80.97	-44.37	44.94	635.02	1413.01	54.80	
661	11:59:54.715	1445.16	1692.25	18.86	85.40	-2415.52	596.62	-2375.09	490.29	79.78	-44.37	44.84	640.13	1427.73	54.61	
662	11:59:55.722	1494.47	1702.33	14.68	87.79	-2434.87	622.42	-2373.76	488.25	76.21	-44.43	45.29	632.35	1396.36	54.24	
663	11:59:56.719	1455.38	1695.67	18.02	85.83	-2415.52	596.62	-2375.84	491.77	78.98	-44.38	44.88	637.40	1420.26	54.55	
664	11:59:57.726	1480.99	1700.51	15.98	87.09	-2409.07	583.72	-2375.56	489.62	77.40	-44.41	45.18	631.02	1396.74	54.15	
665	11:59:58.717	1453.97	1695.19	18.18	85.77	-2415.52	596.62	-2374.94	489.66	80.17	-44.38	44.68	631.98	1414.37	54.75	
666	11:59:59.721	1449.41	1692.75	18.46	85.62	-2415.52	596.62	-2374.18	490.23	79.78	-44.38	44.76	639.10	1427.72	54.64	
667	12:00:00.717	1464.96	1696.63	17.38	86.35	-2415.52	596.62	-2375.36	490.11	79.38	-44.39	44.79	634.58	1416.82	54.56	
668	12:00:01.733	1622.50	1688.82	-43.25	96.07	-2228.47	312.82	-2304.67	439.41	77.00	-44.30	67.68	674.91	997.16	58.28	
669	12:00:02.716	1649.35	1770.52	-42.77	93.16	-1964.02	396.67	-2335.09	455.59	55.59	-44.51	--	--	--	0.00	
670	12:00:03.724	1406.60	1668.32	21.74	84.31	-2402.62	596.62	-2378.00	503.27	83.35	-44.33	44.37	637.22	1436.29	57.16	
671	12:00:04.711	1458.63	1614.95	28.55	90.32	-2247.82	306.37	-2311.26	449.86	96.43	-44.06	51.10	660.45	1292.56	58.35	
672	12:00:05.717	1415.11	1620.58	28.39	87.32	-2247.82	306.37	-2317.05	453.24	94.05	-44.04	49.48	663.97	1341.77	58.24	
673	12:00:06.723	1632.32	1699.62	-42.92	96.04	-2241.37	274.12	-2308.33	435.70	72.24	-44.32	72.54	677.85	934.43	58.90	
674	12:00:07.711	1645.78	1743.50	-39.26	94.39	-2080.12	274.12	-2316.55	434.74	65.50	-44.39	93.05	659.72	708.99	-28.66	
675	12:00:08.717	1627.86	1737.94	-13.12	93.67	-2486.47	738.52	-2359.08	470.34	60.74	-44.54	57.89	613.65	1060.11	55.31	
676	12:00:09.725	1437.74	1621.96	28.35	88.64	-2247.82	306.37	-2311.92	445.74	96.03	-44.06	50.40	660.52	1310.46	58.05	
677	12:00:10.719	1641.94	1755.86	-19.10	93.51	-2492.92	738.52	-2352.73	455.93	56.78	-44.52	73.90	624.34	844.86	56.62	
678	12:00:11.725	1521.24	1628.43	24.63	93.42	-2228.47	312.82	-2305.96	435.97	96.43	-44.11	53.25	650.41	1221.52	57.67	
679	12:00:12.715	1505.47	1623.27	26.88	92.74	-2247.82	306.37	-2306.24	438.93	97.22	-44.10	52.66	654.07	1242.04	57.83	
680	12:00:13.722	1375.20	1625.63	28.21	84.60	-2299.42	435.37	-2326.59	458.66	90.09	-44.05	48.27	668.79	1385.47	58.36	
681	12:00:14.713	1646.73	1746.13	-39.59	94.31	-1983.37	390.22	-2320.61	432.44	63.12	-44.41	68.67	535.09	779.20	-33.74	
682	12:00:15.723	1482.62	1617.20	27.73	91.68	-2247.82	306.37	-2309.99	440.15	99.21	-44.08	51.75	651.24	1258.44	58.11	
683	12:00:16.713	1651.33	1760.95	-39.36	93.78	-2086.57	222.52	-2327.05	440.26	60.35	-44.45	--	--	--	0.00	
684	12:00:17.717	1365.96	1666.85	23.40	81.95	-2402.62	596.62	-2372.01	493.63	87.31	-44.26	44.59	641.35	1438.35	57.03	
685	12:00:18.712	1644.30	1734.65	-42.06	94.79	-2080.12	274.12	-2319.81	438.28	65.50	-44.39	99.25	700.10	705.38	-7.35	
686	12:00:19.719	1350.77	1663.57	24.19	81.20	-2396.17	545.02	-2371.15	489.21	86.91	-44.23	44.54	644.83	1447.60	57.34	
687	12:00:20.715	1586.13	1631.00	15.93	97.25	-2228.47	312.82	-2309.68	436.35	92.47	-44.18	57.07	648.01	1135.53	58.09	
688	12:00:21.723	1331.29	1631.80	27.63	81.58	-2312.32	448.27	-2343.96	473.46	91.67	-44.07	47.16	661.93	1403.68	58.46	
689	12:00:22.716	1579.33	1629.25	18.19	96.94	-2228.47	312.82	-2308.55	435.27	92.07	-44.18	56.17	648.03	1153.74	57.80	
690	12:00:23.711	1631.15	1738.98	-12.29	93.80	-2492.92	738.52	-2364.85	468.54	61.14	-44.53	57.45	612.44	1066.09	54.77	
691	12:00:24.720	1575.58	1715.41	4.90	91.85	-2454.22	635.32	-2374.28	480.43	69.07	-44.49	48.07	611.62	1272.33	55.38	
692	12:00:25.712	1319.32	1644.49	26.60	80.23	-2376.82	435.37	-2354.40	480.08	89.29	-44.12	45.45	653.99	1439.07	57.64	
693	12:00:26.717	1628.96	1736.78	-10.78	93.79	-2492.92	738.52	-2366.39	469.40	61.14	-44.52	56.57	613.62	1084.78	55.03	
694	12:00:27.723	1624.64	1733.26	-9.19	93.73	-2492.92	738.52	-2367.06	470.62	61.14	-44.52	55.10	615.27	1116.66	54.71	
695	12:00:28.717	1632.88	1740.06	-13.56	93.84	-2492.92	738.52	-2362.87	467.99	60.74	-44.53	59.61	612.61	1027.77	54.79	
696	12:00:29.711	1651.34	1759.71	-27.02	93.84	-2505.82	790.12	-2351.05	456.71	54.00	-44.53	--	--	--	0.00	
697	12:00:30.716	1652.30	1762.69	-27.22	93.74	-2505.82	796.57	-2350.38	456.33	53.60	-44.52	--	--	--	0.00	
698	12:00:31.749	1654.68	1766.19	-30.13	93.69	-2505.82	796.57	-2344.60	452.80	52.81	-44.52	--	--	--	0.00	
699	12:00:32.713	1645.68	1751.17	-21.24	93.98	-2447.77	757.87	-2357.85	464.74	55.98	-44.53	72.19	628.21	870.23	54.23	
700	12:00:33.723	1643.64	1750.21	-19.75	93.91	-2492.92	738.52	-2357.79	464.96	57.97	-44.53	69.79	619.15	887.10	55.96	
701	12:00:34.715	1634.17	1739.70	-13.99	93.93	-2492.92	738.52	-2361.70	467.96	59.16	-44.53	59.39	618.81	1042.00	54.51	
702	12:00:35.718	1635.65	1743.13	-14.72	93.83	-2499.37	738.52	-2359.81	466.32	59.95	-44.53	61.78	612.61	991.59	55.64	
703	12:00:36.710	1640.96	1746.75	-17.53	93.94	-2492.92	738.52	-2358.25	465.13	58.36	-44.53	64.71	619.16	956.84	55.38	
704	12:00:37.742	1625.01	1735.21	-9.13	93.65	-2518.72	661.12	-2364.95	470.10	61.93	-44.53	54.86	614.81	1120.60	54.92	
705	12:00:38.712	1633.19	1739.84	-13.49	93.87	-2447.77	757.87	-2362.74	467.57	60.35	-44.53	61.21	613.21	1001.86	55.48	
706	12:00:39.723	1628.67	1736.14	-11.25	93.81	-2492.92	738.52	-2364.26	469.19	60.74	-44.53	56.56	613.44	1084.58	55.02	
707	12:00:40.718	1628.09	1736.38	-11.03	93.76	-2499.37	654.67	-2364.59	468.97	60.74	-44.53	55.75	611.13	1096.19	54.96	
708	12:00:41.720	1624.05	1733.68	-9.30	93.68	-2499.37	667.57	-2365.02	470.55	61.54	-44.53	54.91	614.81	1119.74	54.91	
709	12:00:42.715	1641.32	1747.27	-17.93	93.94	-2486.47	738.52	-2359.21	464.08	57.97	-44.53	66.19	619.59	936.11	55.10	
710	12:00:43.719	1633.43	1739.99	-13.69	93.88	-2518.72	661.12	-2362.29	467.37	60.35	-44.53	61.14	612.23	1001.37	55.51	
711	12:00:44.711	1637.53	1742.25	-15.39	93.99	-2492.92	738.52	-2361.34	466.06	59.55	-44.53	63.20	614.23	971.85	55.46	
712	12:00:45.720	1638.38	1743.73	-16.45	93.96	-2492.92	738.52	-2360.90	465.45	58.76	-44.54	63.37	618.17	975.43	55.06	
713	12:00:46.712	1636.04	1741.16	-14.86	93.96	-2492.92	738.52	-2362.28	466.97	58.76	-44.53	62.20	619.18	995.55	55.54	
714	12:00:47.715	1633.45	1740.19	-13.58	93.87	-2492.92	738.52	-2362.67	467.81	59.95	-44.53	59.34	610.65	1029.15	54.87	
715	12:00:48.721	1640.98	1746.60	-17.74	93.95	-2492.92	738.52	-2359.72	464.92	59.16	-44.53	65.36	620.57	949.47	55.03	
716	12:00:49.713	1623.74	1734.15	-9.06	93.63	-2512.27	628.87	-2366.32	470.37	61.93	-44.53	54.96	615.34	1119.58	54.89	
717	12:00:50.709	1645.82	1752.94	-21.50	93.89	-2492.92	738.52	-2356.36	461.71	56.38	-44.54	87.66	644.74	735.48	61.56	
718	12:00:51.717	1646.09	1752.67	-21.95	93.92	-2492.92	738.52	-2356.48	461.98	57.57	-44.53	88.27	641.56	726.85	65.23	
719	12:00:52.708	1644.85	1749.39	-20.28	94.02	-2492.92	738.52	-2357.86	463.08	58.76	-44.53	69.67	622.08	892.84	55.34	
720	12:00:53.715	1649.14	1757.13	-24.36	93.85	-2505.82	796.57	-2352.33	458.90	54.79	-44.53	--	--	--	0.00	
